"id_messpunkt";"int4";"date_part";"date_part"
36377;1;1;16
46357;7;1;17
46357;7;1;17
34143;2;1;17
34143;2;1;17
34143;1;1;17
34143;1;1;17
46357;1;1;17
46357;2;1;17
46357;5;1;17
46357;5;1;17
34143;2;1;17
34143;2;1;17
34143;1;1;17
34143;1;1;17
46357;0;1;17
46357;0;1;17
36377;3;1;17
36377;2;1;17
36377;3;1;17
36377;3;1;17
46357;5;1;17
46357;6;1;17
34143;2;1;17
34143;2;1;17
34143;0;1;17
34143;0;1;17
46357;1;1;17
46357;1;1;17
46357;4;1;17
46357;4;1;17
34143;3;1;17
34143;2;1;17
36377;4;1;17
36377;4;1;17
34143;1;1;17
34143;1;1;17
46357;0;1;17
46357;0;1;17
36377;3;1;17
36377;3;1;17
46357;6;1;18
46357;6;1;18
34143;2;1;18
34143;2;1;18
34143;1;1;18
34143;1;1;18
46357;1;1;18
46357;0;1;18
34143;1;1;18
34143;1;1;18
34143;1;1;18
34143;1;1;18
46357;1;1;18
46357;1;1;18
36377;3;1;18
36377;3;1;18
36377;3;1;18
36377;3;1;18
46357;5;1;18
46357;6;1;18
34143;2;1;18
34143;2;1;18
34143;1;1;18
34143;1;1;18
46357;0;1;18
46357;0;1;18
46357;2;1;18
46357;2;1;18
34143;2;1;18
34143;2;1;18
36377;5;1;18
36377;4;1;18
34143;1;1;18
34143;2;1;18
46357;0;1;18
46357;0;1;18
36377;3;1;18
36377;3;1;18
46357;4;1;19
46357;4;1;19
34143;2;1;19
34143;2;1;19
34143;1;1;19
34143;1;1;19
46357;0;1;19
46357;0;1;19
46357;3;1;19
46357;3;1;19
34143;0;1;19
34143;0;1;19
34143;1;1;19
34143;1;1;19
46357;0;1;19
46357;0;1;19
36377;1;1;19
36377;1;1;19
36377;1;1;19
36377;1;1;19
46357;2;1;19
46357;3;1;19
34143;2;1;19
34143;2;1;19
34143;1;1;19
34143;1;1;19
46357;0;1;19
46357;0;1;19
46357;2;1;19
46357;3;1;19
36377;0;1;19
36377;0;1;19
34143;1;1;19
34143;0;1;19
46357;1;1;19
46357;1;1;19
36377;1;1;19
36377;2;1;19
46357;3;1;20
46357;3;1;20
34143;2;1;20
34143;2;1;20
46357;2;1;20
46357;2;1;20
34143;2;1;20
34143;2;1;20
46357;3;1;20
46357;2;1;20
36377;2;1;20
36377;2;1;20
36377;2;1;20
36377;2;1;20
46357;1;1;20
46357;2;1;20
34143;2;1;20
34143;2;1;20
46357;0;1;20
46357;0;1;20
34143;3;1;20
34143;3;1;20
36377;2;1;21
36377;2;1;21
46357;3;1;21
46357;3;1;21
34143;3;1;21
34143;3;1;21
46357;1;1;21
46357;1;1;21
34143;0;1;21
34143;1;1;21
36377;1;1;21
36377;1;1;21
46357;1;1;21
46357;1;1;21
46357;2;1;21
46357;1;1;21
34143;3;1;21
34143;3;1;21
46357;0;1;21
46357;0;1;21
34143;2;1;21
34143;2;1;21
36377;1;1;22
36377;1;1;22
46357;2;1;22
46357;2;1;22
34143;2;1;22
34143;2;1;22
34143;2;1;22
34143;2;1;22
36377;1;1;22
36377;1;1;22
46357;1;1;22
46357;1;1;22
46357;2;1;22
46357;2;1;22
34143;2;1;22
34143;2;1;22
46357;1;1;22
46357;1;1;22
34143;1;1;22
34143;0;1;22
36377;3;1;23
36377;2;1;23
46357;3;1;23
46357;2;1;23
34143;1;1;23
34143;1;1;23
34143;2;1;23
34143;1;1;23
36377;1;1;23
36377;1;1;23
46357;3;1;23
46357;3;1;23
46357;4;1;23
46357;2;1;23
34143;1;1;23
34143;1;1;23
46357;0;1;23
46357;0;1;23
34143;1;2;0
34143;0;2;0
36377;7;2;0
36377;7;2;0
46357;2;2;0
46357;2;2;0
36377;5;2;0
36377;5;2;0
46357;3;2;0
46357;3;2;0
46357;0;2;4
46357;0;2;4
46357;0;2;5
46357;0;2;5
36377;1;2;5
36377;1;2;5
36377;2;2;5
36377;2;2;5
34143;2;2;5
34143;2;2;5
46357;0;2;5
46357;0;2;5
46357;2;2;5
46357;2;2;5
36377;0;2;5
36377;0;2;5
46357;1;2;5
46357;1;2;5
36377;1;2;5
36377;1;2;5
46357;1;2;6
46357;1;2;6
34143;2;2;6
34143;2;2;6
34143;1;2;6
34143;2;2;6
46357;1;2;6
46357;1;2;6
46357;0;2;6
46357;1;2;6
34143;2;2;6
34143;2;2;6
34143;0;2;6
34143;1;2;6
46357;2;2;6
46357;2;2;6
36377;2;2;6
36377;2;2;6
36377;3;2;6
36377;3;2;6
46357;2;2;6
46357;2;2;6
34143;4;2;6
34143;4;2;6
34143;3;2;6
34143;2;2;6
46357;1;2;6
46357;1;2;6
46357;5;2;6
46357;5;2;6
34143;2;2;6
34143;2;2;6
36377;1;2;6
36377;1;2;6
34143;1;2;6
34143;1;2;6
46357;1;2;6
46357;1;2;6
36377;2;2;6
36377;2;2;6
46357;5;2;7
46357;5;2;7
34143;3;2;7
34143;3;2;7
34143;2;2;7
34143;2;2;7
46357;0;2;7
46357;1;2;7
46357;5;2;7
46357;4;2;7
34143;3;2;7
34143;3;2;7
34143;0;2;7
34143;0;2;7
46357;1;2;7
46357;1;2;7
36377;3;2;7
36377;3;2;7
36377;3;2;7
36377;3;2;7
46357;6;2;7
46357;7;2;7
34143;3;2;7
34143;2;2;7
34143;1;2;7
34143;1;2;7
46357;1;2;7
46357;1;2;7
46357;4;2;7
46357;4;2;7
34143;3;2;7
34143;3;2;7
36377;0;2;7
36377;0;2;7
34143;2;2;7
34143;2;2;7
46357;1;2;7
46357;1;2;7
36377;1;2;7
36377;1;2;7
46357;4;2;8
46357;4;2;8
34143;3;2;8
34143;3;2;8
34143;1;2;8
34143;2;2;8
46357;0;2;8
46357;-1;2;8
46357;4;2;8
46357;5;2;8
34143;1;2;8
34143;1;2;8
46357;0;2;8
46357;1;2;8
36377;0;2;8
36377;0;2;8
36377;1;2;8
36377;1;2;8
46357;3;2;8
46357;4;2;8
34143;2;2;8
34143;2;2;8
46357;0;2;8
46357;0;2;8
46357;3;2;8
