Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
39143;S1FR+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHS;Hartmannshof;11:58:00;2;3552
84554;;06.03.2016;57;Keine Meldung durch EVU;NBY;Bayreuth Hbf;12:00:00;2;84554
22335;RE3S-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TRI;Riedlingen;12:01:00;2;22334
57818;;06.03.2016;54;Verkehrliche Zugvorbereitung;MA;Augsburg Hbf;12:01:00;13;57818
58028;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;12:03:00;2;41597
3468;RB44-;06.03.2016;54;Verkehrliche Zugvorbereitung;NBY;Bayreuth Hbf;12:04:00;3;3468
22809;RB8-;06.03.2016;94;Anschluss;TAU;Aulendorf;12:05:00;3;4228
3386;RE37-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSF;Sonthofen;12:05:00;4;3387
59621;RB121B+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MTZ;Tutzing;12:05:00;2;
23585;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;12:06:00;3;
3467;RB44+;06.03.2016;93;Wende;NN;Nürnberg Hbf;12:07:00;2;3780
39152;S1FR-;06.03.2016;93;Wende;NHS;Hartmannshof;12:07:00;4;39143
5514;RB39A+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;12:08:00;4;
5417;RE12+;06.03.2016;93;Wende;MGP;Garmisch-Partenkirchen;12:09:00;7;
86867;;06.03.2016;84;Behörden;MH;München Hbf;12:09:00;4;6752
6255;S2BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MRI W;München-Riem West;12:10:00;3;27039
59458;RE12-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;12:11:00;4;5513
63054;;06.03.2016;59;Sonstige verkehrliche Gründe EVU;MTLG;Tüßling;12:11:00;2;63054
86524;BRB4-;06.03.2016;50;Haltezeitüberschreitung;MA;Augsburg Hbf;12:12:00;2;86524
94361;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MMNG;Manching;12:13:00;2;52575
22854;;06.03.2016;64;Triebfahrzeuge;TWW;Wangen (Allgäu);12:15:00;10;22854
3287;SF7BY-;06.03.2016;95;Flügeln;MIMS;Immenstadt;12:16:00;2;3387
6457;S4BY+;06.03.2016;84;Behörden;MMDN;München Donnersbergerbrücke;12:17:00;2;6752
79727;;06.03.2016;57;Keine Meldung durch EVU;NMR;Marktredwitz;12:17:00;2;79727
6752;S7BY-;06.03.2016;84;Behörden;MMDN;München Donnersbergerbrücke;12:19:00;22;6752
84139;ALXS-;06.03.2016;64;Triebfahrzeuge;MHGZ;Hergatz;12:21:00;6;22854
84360;AG2+;06.03.2016;31;Bauarbeiten;MRFD;Rohrenfeld;12:21:00;2;
6757;S7BY+;06.03.2016;84;Behörden;MHP;München Heimeranplatz;12:22:00;2;6752
3427;RB44+;06.03.2016;95;Flügeln;NPZ;Pegnitz;12:24:00;2;3407
6752;S7BY-;06.03.2016;84;Behörden;MHP;München Heimeranplatz;12:24:00;2;6754
79474;MER2-;06.03.2016;50;Haltezeitüberschreitung;MARS;Rosenheim Süd;12:24:00;2;79474
84159;ALXSF-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOF;Oberstdorf;12:24:00;2;
22854;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHGZ;Hergatz;12:25:00;5;
4015;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MRBI;Rohrbach (Ilm);12:25:00;2;1585
57182;RE77+;06.03.2016;64;Triebfahrzeuge;MUFH;Unterfahlheim;12:25:00;3;57182
80682;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NEBH;Ebenhausen (Unterfr);12:25:00;2;80711
27477;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MTS;Traunstein;12:27:00;2;114
57308;;06.03.2016;54;Verkehrliche Zugvorbereitung;MA;Augsburg Hbf;12:27:00;3;2082
22861;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TKG;Kißlegg;12:30:00;4;22809
3014;RE53-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NVK;Vilseck;12:31:00;3;3099
3099;RE53+;06.03.2016;57;Keine Meldung durch EVU;NVK;Vilseck;12:31:00;2;3099
4987;RE42-;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;12:31:00;3;
79379;AG2-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MUHN;Unterhausen (Bay);12:34:00;2;84360
3208;IRE3+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;TBL;Blaubeuren;12:35:00;4;22335
84139;ALXS-;06.03.2016;57;Keine Meldung durch EVU;MRTA;Röthenbach (Allgäu);12:35:00;2;84139
22527;RE/RB5-;06.03.2016;50;Haltezeitüberschreitung;TA;Aalen;12:36:00;1;22527
22527;RE/RB5-;06.03.2016;60;Umlauf-Einsatzplanung;TA;Aalen;12:36:00;2;22527
5483;;06.03.2016;94;Anschluss;MKP;Kempten (Allgäu) Hbf;12:37:00;3;3287
57821;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKFG;Kaufering;12:37:00;3;57818
57939;;06.03.2016;93;Wende;MBWH;Bad Wörishofen;12:37:00;3;
39155;S1FR+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NF;Fürth (Bay) Hbf;12:38:00;3;
4018;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;NALB;Allersberg (Rothsee);12:39:00;2;
57644;;06.03.2016;94;Anschluss;MKP;Kempten (Allgäu) Hbf;12:39:00;4;3287
79573;MER3+;06.03.2016;94;Anschluss;MHO;Holzkirchen;12:39:00;3;86867
86917;;06.03.2016;95;Flügeln;MHO;Holzkirchen;12:40:00;6;86867
57287;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MWNS;Wörnitzstein;12:41:00;2;65372
4612;;06.03.2016;50;Haltezeitüberschreitung;NVE;Veitshöchheim;12:43:00;2;4612
3761;RE41+;06.03.2016;57;Keine Meldung durch EVU;NTG;Trebgast;12:45:00;2;3761
4611;RE60FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;FFS;Frankfurt (Main) Süd;12:45:00;4;27
22720;;06.03.2016;93;Wende;MLI;Lindau Hbf;12:46:00;9;22854
20876;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHO;Hof Hbf;12:47:00;3;84411
3430;RB44-;06.03.2016;60;Umlauf-Einsatzplanung;NHO;Hof Hbf;12:47:00;7;3430
3554;SF3BY+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);12:47:00;4;
3557;RE54+;06.03.2016;60;Umlauf-Einsatzplanung;NIR;Irrenlohe;12:47:00;2;3557
57644;;06.03.2016;50;Haltezeitüberschreitung;MDRD;Dietmannsried;12:48:00;2;57644
4987;RE42-;06.03.2016;64;Triebfahrzeuge;USAP;Saalfeld Propangasanlage;12:49:00;3;94174
57025;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MH;München Hbf;12:49:00;3;
86967;;06.03.2016;95;Flügeln;MSFL;Schaftlach;12:52:00;4;86917
20877;;06.03.2016;50;Haltezeitüberschreitung;NMR;Marktredwitz;12:54:00;2;20877
39338;S3FR-;06.03.2016;50;Haltezeitüberschreitung;NPOH;Postbauer-Heng;12:55:00;2;39338
57308;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MMTG;Mertingen Bahnhof;12:55:00;2;2082
22721;RB7+;06.03.2016;51;Antrag EVU;TF;Friedrichshafen Stadt;12:56:00;6;3055
3467;RB44+;06.03.2016;57;Keine Meldung durch EVU;NCRE;Creußen (Oberfr);12:56:00;3;3467
4209;IRE6+;06.03.2016;94;Anschluss;TAU;Aulendorf;12:56:00;2;22861
6554;S6BY-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MTZ;Tutzing;12:57:00;2;
4225;;06.03.2016;57;Keine Meldung durch EVU;MLI;Lindau Hbf;12:58:00;2;4225
22720;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MNHN;Nonnenhorn;12:59:00;4;
3806;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NBNE;Bad Neustadt (Saale);13:00:00;3;3809
5543;RB39A-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;13:00:00;4;
3209;IRE3-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TRC;Rechtenstein;13:01:00;3;3208
84567;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NBY;Bayreuth Hbf;13:01:00;2;3467
84662;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NSLZ;Selbitz;13:01:00;2;
22810;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MM;Memmingen;13:02:00;2;22809
3771;RE41N+;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;13:03:00;4;3771
86894;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSCS;Schliersee;13:03:00;4;86867
57370;RE32BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MA;Augsburg Hbf;13:04:00;2;
57941;;06.03.2016;93;Wende;MBWH;Bad Wörishofen;13:04:00;2;
58032;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;13:04:00;3;1224
6565;S6BY+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MTZ;Tutzing;13:06:00;2;
58117;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NMT;Marktbreit;13:07:00;4;1145
27476;;06.03.2016;57;Keine Meldung durch EVU;MHFG;Hufschlag Abzw;13:08:00;2;27476
86639;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MAHA;Augsburg Haunstetterstraße;13:08:00;2;
57308;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MMDL;Mündling;13:09:00;2;2082
4931;;06.03.2016;50;Haltezeitüberschreitung;TL;Lauda;13:11:00;2;4931
86738;;06.03.2016;51;Antrag EVU;MEB;Eichstätt Bahnhof;13:11:00;4;86738
27623;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NSNH;Sand (Niederbay) Hafen;13:12:00;2;
6160;S1BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLEU;München Leuchtenbergring;13:12:00;2;
20878;;06.03.2016;51;Antrag EVU;NMR;Marktredwitz;13:13:00;5;20878
84662;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NKI;Köditz;13:13:00;2;
4068;;06.03.2016;57;Keine Meldung durch EVU;NOS;Osterhofen (Niederbay);13:14:00;2;4068
4612;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNAN;Nantenbach;13:15:00;3;720
57033;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MDT;Donauwörth;13:23:00;4;2065
79026;MER1-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MART;Rosenheim Ost;13:24:00;2;79476
28632;RB6A-;06.03.2016;93;Wende;TFH;Friedrichshafen Hafen;13:25:00;2;22720
57184;;06.03.2016;50;Haltezeitüberschreitung;MA;Augsburg Hbf;13:26:00;2;57184
39276;;06.03.2016;50;Haltezeitüberschreitung;NBA;Bamberg;13:27:00;2;4988
59307;;06.03.2016;51;Antrag EVU;NNE;Neuenmarkt-Wirsberg;13:28:00;2;3771
84569;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NSOK;Stockau;13:28:00;2;84568
4769;;06.03.2016;51;Antrag EVU;NHO;Hof Hbf;13:29:00;2;3427
86944;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHO;Holzkirchen;13:29:00;2;86894
22811;RB8-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TSL;Bad Saulgau;13:31:00;2;3258
27326;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MPKI;Pfarrkirchen;13:31:00;2;
22562;RB5+;06.03.2016;54;Verkehrliche Zugvorbereitung;TU;Ulm Hbf;13:32:00;2;22562
27327;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MPKI;Pfarrkirchen;13:32:00;3;
29356;RE42+;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;13:32:00;3;
57033;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MMTG;Mertingen Bahnhof;13:33:00;2;2065
3016;RE53-;06.03.2016;31;Bauarbeiten;NGAH;Großalbershof;13:38:00;3;
4687;;06.03.2016;50;Haltezeitüberschreitung;NBA;Bamberg;13:38:00;2;4687
4021;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MKIG;Kinding (Altmühltal);13:39:00;2;
22658;RB6-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TBI;Biberach (Riß);13:41:00;6;3055
3486;SF3BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MBU;Buchloe;13:41:00;2;
5419;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MMW;Mittenwald;13:41:00;3;
58119;;06.03.2016;50;Haltezeitüberschreitung;NWH;Würzburg Hbf;13:43:00;2;58119
3086;IRE1-;06.03.2016;51;Antrag EVU;NHO;Hof Hbf;13:44:00;8;4786
27159;;06.03.2016;31;Bauarbeiten;MTLG;Tüßling;13:45:00;2;
39624;S2FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;13:45:00;4;
22337;RE3S-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TMG;Mengen;13:46:00;3;3258
3410;RB44-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NPZ;Pegnitz;13:46:00;4;3430
58219;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;13:46:00;4;27
84413;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHO;Hof Hbf;13:47:00;3;3086
3556;SF3BY+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);13:48:00;4;
63055;;06.03.2016;31;Bauarbeiten;MTLG;Tüßling;13:51:00;2;
6767;S7BY+;06.03.2016;50;Haltezeitüberschreitung;MGOI;Großhesselohe Isartalbahnhof;13:51:00;2;6767
6363;S3BY+;06.03.2016;57;Keine Meldung durch EVU;MDS;Deisenhofen;13:53:00;2;6363
84106;ALXN+;06.03.2016;50;Haltezeitüberschreitung;NMR;Marktredwitz;13:54:00;2;84106
86527;BRB4+;06.03.2016;50;Haltezeitüberschreitung;MAHA;Augsburg Haunstetterstraße;13:55:00;1;86527
22661;RB6+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TLW;Laupheim West;13:56:00;3;22658
27323;;06.03.2016;57;Keine Meldung durch EVU;NPA G;Passau Gbf;13:56:00;4;27323
57909;;06.03.2016;95;Flügeln;MBU;Buchloe;13:56:00;2;
6171;S1BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFR;Freising;13:57:00;3;94193
83928;WB1-;06.03.2016;57;Keine Meldung durch EVU;NPL;Plattling;13:57:00;3;83928
23586;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;13:58:00;2;
3809;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;13:58:00;3;
84570;;06.03.2016;57;Keine Meldung durch EVU;NBY;Bayreuth Hbf;13:59:00;2;84570
84139;ALXS-;06.03.2016;57;Keine Meldung durch EVU;MBU;Buchloe;14:00:00;2;84139
94484;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NRH;Regensburg Hbf;14:00:00;2;84196
29379;;06.03.2016;54;Verkehrliche Zugvorbereitung;NBA;Bamberg;14:02:00;2;29379
4613;RE60FR-;06.03.2016;85;Fremdeinwirkung;FHW;Hanau West;14:02:00;6;
5519;RB39A-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;14:02:00;2;
84412;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NRU;Rehau;14:02:00;2;
84580;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHO;Hof Hbf;14:02:00;2;51723
27328;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MPKG;Pocking;14:03:00;2;27327
3487;SF3BY-;06.03.2016;64;Triebfahrzeuge;MKP;Kempten (Allgäu) Hbf;14:03:00;22;3487
39626;S2FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;14:03:00;2;
58520;RB53FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNP;Neuhaus (Pegnitz);14:03:00;2;3430
5421;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;14:06:00;4;
22661;RB6+;06.03.2016;54;Verkehrliche Zugvorbereitung;TLM;Laupheim Stadt;14:07:00;2;22661
79315;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFL;Freilassing;14:07:00;3;
27623;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MNFR;Neufahrn (Niederbay);14:08:00;2;
5518;RB39A+;06.03.2016;95;Flügeln;MGP;Garmisch-Partenkirchen;14:08:00;4;5421
58043;;06.03.2016;50;Haltezeitüberschreitung;NWH;Würzburg Hbf;14:08:00;2;58043
27212;;06.03.2016;50;Haltezeitüberschreitung;MGHS;Geisenhausen;14:09:00;2;27212
29357;RE40FR-;06.03.2016;94;Anschluss;NLF;Lichtenfels;14:10:00;4;4987
3863;;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;14:10:00;4;3863
59098;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MRS;Reichertshausen (Ilm);14:10:00;2;1124
4808;RE40FR+;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;14:11:00;2;4808
84196;AG1-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NUDF;Undorf;14:11:00;2;
3486;SF3BY+;06.03.2016;60;Umlauf-Einsatzplanung;MGNZ;Günzach;14:12:00;2;3486
29358;;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;14:13:00;3;29358
58846;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NSDF;Siegelsdorf;14:13:00;3;
6473;S4BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGE;Geltendorf;14:16:00;2;84139
79314;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHAU;Hammerau;14:16:00;3;
27088;;06.03.2016;31;Bauarbeiten;MMF;Mühldorf (Oberbay);14:19:00;2;
27118;;06.03.2016;50;Haltezeitüberschreitung;MTG;Töging (Inn);14:19:00;2;27118
3561;RE54+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);14:20:00;2;3021
3808;;06.03.2016;57;Keine Meldung durch EVU;NWA;Waigolshausen;14:20:00;2;3808
58853;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NMER;Markt Erlbach;14:20:00;2;
6568;S6BY-;06.03.2016;64;Triebfahrzeuge;MSTH;München-Steinhausen;14:20:00;1;
84575;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NKL;Kirchenlaibach;14:20:00;15;
57035;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MDT;Donauwörth;14:21:00;2;1145
80713;;06.03.2016;60;Umlauf-Einsatzplanung;NBKI;Bad Kissingen;14:21:00;7;80713
84362;AG2+;06.03.2016;93;Wende;MRFD;Rohrenfeld;14:21:00;2;
22337;RE3S-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;TEH;Ehingen (Donau);14:22:00;2;
27326;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MMF;Mühldorf (Oberbay);14:22:00;2;27088
3781;RB44+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NTG;Trebgast;14:22:00;2;
57412;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MH;München Hbf;14:23:00;3;
6271;S2BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MAOZ;München-Obermenzing Abzw;14:23:00;2;
84197;AG1+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NRA;Radldorf (Niederbay);14:23:00;2;
6767;S7BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGI;München-Giesing;14:24:00;2;
3087;IRE1+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NHO;Hof Hbf;14:25:00;2;84412
3429;RB44+;06.03.2016;95;Flügeln;NPZ;Pegnitz;14:25:00;3;3409
3558;SF3BY+;06.03.2016;50;Haltezeitüberschreitung;NAM;Amberg;14:25:00;3;3558
6173;S1BY+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MNF;Neufahrn (b Freising);14:25:00;3;
79478;MER2-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MARS;Rosenheim Süd;14:25:00;2;79030
84575;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NKNN;Kemnath-Neustadt;14:25:00;20;
84139;ALXS-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MFB;Fürstenfeldbruck;14:26:00;2;
27481;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MTS;Traunstein;14:28:00;3;112
57824;;06.03.2016;57;Keine Meldung durch EVU;MKFG;Kaufering;14:28:00;2;57824
58120;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MTL;Treuchtlingen;14:28:00;3;
6875;S8BY+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MHI;Herrsching;14:28:00;3;
84362;AG2+;06.03.2016;50;Haltezeitüberschreitung;MNBD;Neuburg (Donau);14:28:00;2;84362
59521;RE12+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MTZ;Tutzing;14:29:00;3;
27327;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MFZL;Fürstenzell;14:30:00;2;
80686;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NEBH;Ebenhausen (Unterfr);14:30:00;4;80713
3018;RE53-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NVK;Vilseck;14:31:00;2;3021
4989;RE42-;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;14:31:00;2;
6473;S4BY+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MBAU;Buchenau (Oberbay);14:31:00;3;
6571;S6BY+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MGT;Gauting;14:31:00;6;
80733;;06.03.2016;95;Flügeln;NEBH;Ebenhausen (Unterfr);14:31:00;6;80713
80750;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NEBH;Ebenhausen (Unterfr);14:31:00;4;80686
86527;BRB4+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MGE;Geltendorf;14:31:00;2;
59520;RE12-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MUZ;Unterzeismering;14:32:00;7;
86572;BRB4-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MGE;Geltendorf;14:32:00;2;
27329;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MPKI;Pfarrkirchen;14:33:00;3;
6564;S6BY-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MST;Starnberg;14:33:00;6;
79381;AG2-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MUHN;Unterhausen (Bay);14:34:00;3;84362
3210;IRE3+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;TBL;Blaubeuren;14:35:00;4;22337
5423;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHDF;Hechendorf;14:35:00;2;
6566;S6BY-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MPLU;Planegg Üst;14:35:00;2;
6875;S8BY+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MSH;Seefeld-Hechendorf;14:35:00;2;
57825;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKFG;Kaufering;14:36:00;2;57824
6864;S8BY-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MUG;Germering-Unterpfaffenhofen;14:36:00;7;
4615;RE60FR-;06.03.2016;64;Triebfahrzeuge;FF;Frankfurt (Main) Hbf;14:38:00;4;1174
4807;RE40FR-;06.03.2016;54;Verkehrliche Zugvorbereitung;NBA;Bamberg;14:38:00;2;4807
59640;RB121B-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MTZ;Tutzing;14:38:00;6;
84585;;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;14:39:00;3;84585
3808;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NOBW;Oberwerrn;14:40:00;4;
4022;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;NALB;Allersberg (Rothsee);14:40:00;2;
6573;S6BY+;06.03.2016;93;Wende;MST;Starnberg;14:40:00;6;6654
84198;AG1-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NSUE;Sünching;14:40:00;3;
4933;;06.03.2016;94;Anschluss;NWH;Würzburg Hbf;14:43:00;6;1589
6873;S8BY+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MWKR;München-Westkreuz;14:44:00;3;6571
79433;MER2+;06.03.2016;57;Keine Meldung durch EVU;MRO;Rosenheim;14:44:00;5;79433
3763;RE41+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NTG;Trebgast;14:45:00;2;
4989;RE42-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;USAP;Saalfeld Propangasanlage;14:45:00;1;74084
84139;ALXS-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MP  W;München-Pasing West;14:46:00;10;
20878;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHO;Hof Hbf;14:47:00;3;84415
6864;S8BY-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MGCH;Gilching-Argelsried;14:47:00;6;
6866;S8BY-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MFH;München-Freiham;14:47:00;3;
3828;;06.03.2016;95;Flügeln;NEBH;Ebenhausen (Unterfr);14:48:00;5;3808
57412;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MPM;Puchheim;14:48:00;11;
79433;MER2+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MARS;Rosenheim Süd;14:48:00;2;44125
84574;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NTG;Trebgast;14:48:00;3;
39165;S1FR+;06.03.2016;50;Haltezeitüberschreitung;NHL;Hersbruck (links Pegnitz);14:49:00;3;39165
59451;RE12+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MGT;Gauting;14:49:00;3;
