Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
39308;S3FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNT;Neumarkt (Oberpf);6:06:00;2;43948
4053;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NPL;Plattling;6:06:00;6;491
4980;;06.03.2016;29;Sonstiges Technik Netz;NNEU;Neuses (b Kronach);6:06:00;2;
79403;MER1+;06.03.2016;31;Bauarbeiten;MGB;Grafing Bahnhof;6:08:00;2;
57631;;06.03.2016;50;Haltezeitüberschreitung;MDRD;Dietmannsried;6:13:00;2;57631
4980;;06.03.2016;29;Sonstiges Technik Netz;NK;Kronach;6:14:00;4;
79403;MER1+;06.03.2016;31;Bauarbeiten;MGB;Grafing Bahnhof;6:14:00;2;
6125;S1BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFR;Freising;6:16:00;2;59233
57255;;06.03.2016;50;Haltezeitüberschreitung;MNL;Nördlingen;6:18:00;3;57255
57391;RE33+;06.03.2016;31;Bauarbeiten;TE;Esslingen (Neckar);6:18:00;1;
58204;;06.03.2016;54;Verkehrliche Zugvorbereitung;NN;Nürnberg Hbf;6:22:00;17;58204
39309;S3FR+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;6:23:00;2;
84352;AG2+;06.03.2016;31;Bauarbeiten;MRFD;Rohrenfeld;6:23:00;2;
4980;;06.03.2016;29;Sonstiges Technik Netz;NPR;Pressig-Rothenkirchen;6:26:00;2;
6125;S1BY+;06.03.2016;95;Flügeln;MNF;Neufahrn (b Freising);6:26:00;2;6925
84130;ALXS+;06.03.2016;94;Anschluss;MKP;Kempten (Allgäu) Hbf;6:27:00;2;57631
3003;RE53+;06.03.2016;50;Haltezeitüberschreitung;NVK;Vilseck;6:28:00;3;3003
4594;;06.03.2016;31;Bauarbeiten;NLA;Laufach;6:31:00;7;
84103;ALXN-;06.03.2016;57;Keine Meldung durch EVU;MLA;Landshut (Bay) Hbf;6:31:00;4;84103
6420;S4BY-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MOP;München Ost Pbf;6:32:00;2;
23580;;06.03.2016;93;Wende;TBMR;Bad Mergentheim;6:33:00;2;72077
3458;RB44-;06.03.2016;51;Antrag EVU;NPZ;Pegnitz;6:33:00;6;3478
27604;;06.03.2016;50;Haltezeitüberschreitung;NST;Straubing;6:34:00;2;27604
79458;MER2-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MRO;Rosenheim;6:34:00;3;45800
3002;RE53-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NFRE;Freihung;6:35:00;6;3003
4981;RE42-;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;6:36:00;3;
79403;MER1+;06.03.2016;57;Keine Meldung durch EVU;MRO;Rosenheim;6:37:00;2;79403
84323;AG2-;06.03.2016;31;Bauarbeiten;NSF;Seubersdorf;6:37:00;2;
57176;;06.03.2016;50;Haltezeitüberschreitung;MH;München Hbf;6:39:00;2;57176
79453;MER2+;06.03.2016;93;Wende;MRO;Rosenheim;6:39:00;3;79403
6820;S8BY-;06.03.2016;85;Fremdeinwirkung;MOP;München Ost Pbf;6:41:00;3;
4053;;06.03.2016;57;Keine Meldung durch EVU;MATH;Altheim (Niederbay);6:43:00;2;4053
57334;RE32BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MBU;Buchloe;6:44:00;2;
3880;;06.03.2016;13;Vorbereitung (Betrieb);MFN;Fischen;6:45:00;5;57663
57496;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MNEW;Nesselwang;6:45:00;5;5471
58144;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;6:45:00;2;
8350;S3BY-;06.03.2016;85;Fremdeinwirkung;MOP;München Ost Pbf;6:45:00;6;6820
4598;;06.03.2016;31;Bauarbeiten;NWH;Würzburg Hbf;6:46:00;9;
84102;ALXN+;06.03.2016;50;Haltezeitüberschreitung;MH;München Hbf;6:46:00;2;84102
39113;S1FR+;06.03.2016;50;Haltezeitüberschreitung;NHL;Hersbruck (links Pegnitz);6:47:00;2;39113
3458;RB44-;06.03.2016;60;Umlauf-Einsatzplanung;NNP;Neuhaus (Pegnitz);6:48:00;2;3458
59069;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;NAN;Ansbach;6:54:00;13;
57018;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MA;Augsburg Hbf;6:56:00;2;40556
6129;S1BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFR;Freising;6:56:00;2;84103
39411;S4FR-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;NAN;Ansbach;6:57:00;3;
3542;SF3BY+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);6:59:00;9;
58204;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNA;Neustadt (Aisch) Bahnhof;7:00:00;11;784
